"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Var20","Target"
"426","M1",129,510,NA,"yes","no",0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,"False."
"427",NA,163,415,"cbae5610c27c4975643ceee46065d1e4","no","no",0,NA,NA,20.81,113.4,108,9.64,180.2,97,8.11,12.5,7,3.38,1,"False."
"428","N4",67,415,"a3184f38ce45910e273cb63de5205a44","no","yes",40,104.9,65,NA,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,"False."
"429","A4",140,408,"00bab4702082ac54b95331475309f8ab","no","no",0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,"False."
"430","O3",49,510,"ae60e723934efb56fbabc02511656941","no","no",0,119.4,69,20.3,NA,92,23.23,214.4,153,9.65,12.4,NA,3.35,2,"False."
"431","K1",NA,510,"03b9f996678b4a8eb64040d1db80f8ba","no","no",0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2,"True."
"432","N3",148,415,"c4a6daa3dd7b7bbe5ddc87fcab1ced5c","no","no",0,178.3,98,30.31,282.6,110,24.02,181,98,8.15,11.4,4,3.08,1,"False."
"433","M4",NA,510,"ee420394965b20a0e3d324ed7fe3c8d2","no",NA,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,"False."
"434","S1",78,415,"d0ee0e1075855988d8ea56e09167f3c7","no","no",0,155,106,26.35,175.3,101,14.9,155.6,125,7,11.8,5,3.19,2,"False."
"435","P1",61,408,"f7d9b0d8254ecb58ceec9af22226152e","no","yes",31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,3,2.32,0,"False."
"436","M8",58,510,"305d0c7df5218b1cdf706af16e0cbf9d","no","yes",29,240.4,80,40.87,118.9,NA,10.11,164.2,108,7.39,11.2,3,3.02,1,"False."
"437",NA,155,415,"42c37768bc8692f6ac3f52ba6e7115d1","no","no",0,190.3,123,32.35,301.3,96,25.61,214.6,134,9.66,8,3,NA,1,"False."
"438","O1",100,510,"d158c0bc2134b038426f5ab05d83b1d0","no","no",0,NA,76,47.26,NA,74,15.02,NA,126,NA,8.3,4,2.24,0,"True."
"439","W4",113,510,"2029785d0c1a6c032bc069b153c6b956","no","no",0,155,93,26.35,NA,106,28.1,189.4,123,8.52,13.5,3,3.65,1,"False."
"440","M4",81,415,"46b663705a375f4644cb0769a0829161","no","no",0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,"False."
"441","A3",135,510,"017fd5a0067af8e8e40f52f64921422e","no","yes",NA,273.4,141,46.48,154,99,13.09,245.8,112,11.06,12.3,6,3.32,1,"False."
"442","F1",99,408,"5b1c8619c17429c5b5e535c9f4bd9e9a","no","no",0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,NA,3.35,0,"False."
"443",NA,59,510,"5c58aff4aa29909d0fd4900b59d615a8","no",NA,NA,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1,"False."
"444","M6",135,510,NA,"no","no",0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1,"False."
"445","W2",85,408,"c010e8f902557dc938c8237963b35225","yes","no",0,165.4,107,28.12,196,126,16.66,349.2,110,15.71,NA,7,2.59,2,"False."
"446","T2",70,510,"3ef6fa62a1595a5c19e6bff990d7b7be","no","no",0,59.5,NA,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,"False."
"447","T2",88,510,"d67f5b99adc98a402dc96cf01ec59175","no","no",0,138.3,116,23.51,236,NA,20.06,179.1,110,8.06,9.6,4,2.59,3,"False."
"448","N6",55,510,NA,"no","no",0,286.7,100,48.74,134.4,121,11.42,192.9,122,8.68,6.9,5,1.86,2,"False."
"449","G1",75,415,"564d3d87964cc1b06eee1f6ff9cd773d","no","no",0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,"False."
"450","I2",79,510,"cf2cb6ce04213a293a62b8357cca770c","no","yes",21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,"False."
"451",NA,85,408,"dd11e15ff590c97b35d3652232591aec","no","no",0,127.9,107,21.74,271.2,NA,23.05,202.2,76,9.1,12.5,5,3.38,0,NA
"452","K1",86,408,"864e35bd1f63090fb75018a4e7f5fc3d","no","yes",23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,NA
"453","S1",NA,510,"d3faa97e20563288f66795594d437e9f","no","no",0,149,115,25.33,245.3,NA,20.85,NA,94,11.7,8.3,3,2.24,0,"False."
"454","L1",149,415,"374a2263400bd3bb3f2fb3f74357ec91","no",NA,20,198.9,77,33.81,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1,"False."
"455","O1",97,408,"eb51e9c1b5f8bc639e6e9ed4480eee96","no","no",0,256.4,125,43.59,273.9,100,23.28,NA,101,10.02,11.1,1,3,1,"True."
"456","M1",88,415,"9c47136b259740eb4781653589854b03","no","no",0,264.8,124,45.02,245.4,112,20.86,NA,115,7.22,14.8,2,4,1,"True."
"457","A4",60,415,"2c4776131e83ace966384e1dce82a223","no","no",0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,"False."
"458","K2",54,408,"d629ed552b1feba446bb113b3a44eb0e","no","no",0,159.8,99,27.17,264,64,NA,115.7,70,5.21,9.7,7,2.62,2,"False."
"459","D1",11,415,"14cb9c52e780440c055b956ecc889b0b","no","yes",28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6,3,1.62,3,"False."
"460","W1",109,415,"f2e28f26e92ad6f4697ead34b957ab99","no","no",0,184,120,31.28,120.4,119,10.23,153.7,86,6.92,11,3,2.97,NA,"False."
"461","U1",NA,415,"b068ae70febf6f8606b2c1449ed31319","no",NA,0,261.8,NA,44.51,NA,104,18.75,NA,91,6.15,9.6,5,2.59,1,"False."
"462","R1",115,408,"dc0895c5253c0e61a5a0e5d25e621499","no","no",0,147.9,109,25.14,228.4,117,NA,299.7,90,13.49,9.6,9,2.59,3,"False."
"463","O1",144,415,"cc1d52cf472342fdbfe387d1120746e6","no","yes",18,106.4,109,18.09,NA,113,9.19,208.4,111,9.38,10.1,5,2.73,1,"False."
"464","N7",91,408,"77738c37f945dac0964efab44c36591c","no","no",0,133.7,75,NA,195.3,NA,16.6,280.5,89,12.62,5.9,2,1.59,NA,"False."
"465","N2",NA,415,"5d8e8d24cfa455fea3bd3c5c26b2fd7f","no","yes",23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,"False."
"466","N7",71,415,NA,"yes","no",0,NA,113,30.29,167.8,94,NA,NA,111,8.19,13.6,3,3.67,3,"True."
"467","F1",132,510,"f53d8e3f233eacf47c6abb005f16714e","no","yes",36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,"True."
"468","M2",112,415,"d673d1e30e25f069cd5bf63805237911","no","no",0,NA,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,NA,"False."
"469","A4",86,415,"72aadb1d1c3a42510d9b5e8e0ab782d0","no","yes",32,NA,163,12.05,NA,121,14.17,244.9,105,11.02,11.1,5,3,3,"False."
"470","A2",41,510,"784b79ce66385c4f44e7011c6ab958f4","no","yes",34,194.4,63,33.05,NA,110,21.67,160.2,115,7.21,17.2,9,4.64,2,"False."
"471","N3",44,415,"1f436e9e87f89758c8cb6fcf71b0e5de","no","no",0,240.3,146,40.85,164.6,NA,13.99,NA,106,10.83,10.6,NA,2.86,1,"False."
"472","N7",NA,408,"efb93b48b74234f53d9f4357a618ec2e","no","no",0,75,116,12.75,248.7,87,21.14,176,83,7.92,9.5,6,2.57,3,"False."
"473","I3",149,408,"5547717475ce204f55b2e7ca3358bf50","no","no",0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,NA,"False."
"474","W3",72,510,"d628d2f79e28a0fa3243a056bc8582c4","no","yes",33,96.6,59,16.42,315.4,98,26.81,NA,117,7.35,6.2,4,1.67,4,"True."
"475","M4",139,415,"46293acec2738029fad5fd2f092f0892","no","yes",20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,"False."
"476","A3",74,510,"3a0d7445c556f557b5acdfe9dcfdfd37","no","no",0,148.5,111,25.25,146.5,42,12.45,NA,83,13.01,9.9,6,2.67,3,"False."
"477",NA,50,510,"fc2d691cd87d6f89d3ac0508f0d577f8","no","no",0,258.1,106,43.88,161.4,NA,13.72,225.1,110,10.13,11.7,5,3.16,1,"False."
"478","G1",141,510,"17d2af27fb217710f367cbd653b36204","no","yes",23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,"False."
"479","A4",140,408,NA,"no","no",0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,"False."
"480","I2",99,408,"08ecd4f09a05b86bccf9514355ca4a60","no","no",0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,"False."
"481",NA,166,408,"76e3d18216a6a6c41227071fc0e6388a","no","no",0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,NA,3.13,1,"False."
"482","N7",124,408,"cacb75b0315a3cbfe68e06e317225a65","no","no",0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,"False."
"483","M2",74,415,NA,"no","no",0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,"False."
"484","G1",117,510,"f96164d8d34abbd42e4eb15e2b145277","no","no",0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,"False."
"485","G1",85,510,"7b35e15327e8dff3ab73ffa14867c481","no","no",0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11,2,2.97,3,"False."
"486","U1",36,415,"f095a0ab2f92b1584932a56177200d50","no","yes",16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,"False."
"487","M1",102,510,"53632ff631166db628ef16adf7eef3ae","yes","no",0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,"False."
"488","I4",76,415,"eaabf8b737d6452e17afb0a452987c3f","no","no",0,204.2,100,34.71,NA,139,24.87,244.3,105,10.99,10.5,2,2.84,0,"False."
"489","V2",NA,510,"b1f64cdda051252bf5a41ba27e98db00","no","no",0,242.9,126,41.29,NA,65,17.83,228.4,126,10.28,0,0,0,1,"False."
"490","I1",130,415,"4f4b9dd9c6c33b67742e477ccf5bf656","no","no",0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,"False."
"491","I4",78,415,"4195e858888e3d5c68992d8af7b8c4f0","no","no",0,208.9,119,35.51,252.4,NA,21.45,280.2,120,12.61,12.8,7,3.46,0,"False."
"492","A2",55,415,"04198129f125c3a98bc8064440a3691f","yes","no",0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,"True."
"493","M3",92,415,"cfe3f51aa89a34184e45883d2eb86a03","yes","no",0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,"True."
"494","R1",129,415,NA,"no","yes",33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,"False."
"495","M2",18,408,"7080f6e94cf6aefdb5b249b06ebf0c2c","no","no",0,273.6,93,46.51,114.6,116,9.74,NA,120,11.28,8.2,4,NA,1,"False."
"496","F1",161,415,"5dcd9e6ffe94c8e838cfca73e9adbf80","yes",NA,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3,2,"False."
"497","C1",93,415,"2d107e8c0a9258bbe1e0c7d23766bbd3","no","yes",36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8,4,2.16,2,"False."
"498","A2",144,415,"f2f57eb6406d7898eddb2054c8805078","no","no",0,177.5,NA,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,"False."
"499","M3",75,408,"d689c0181cb849b49931414e2d53b23e","yes","no",0,211.3,61,35.92,105.6,119,8.98,175.9,63,NA,9.7,4,2.62,4,"True."
"500","W3",95,415,"fd077b7fa83f013098e17e14b30be36d","no","no",0,175.2,91,29.78,244.4,109,NA,75.8,95,3.41,7.5,2,2.03,1,"False."
"501","S1",126,415,"aa4582f66e10414b24b5a1f356f27f53","no","yes",23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,"False."
"502","F1",124,415,"ad83ccb0645b3e46e769e5b11ff6763c","no","yes",28,251.4,104,42.74,225.1,89,19.13,NA,121,11.34,7.5,5,2.03,1,"False."
"503","M4",NA,415,"7b4e5ed0d3eaf36678339a133f111918","yes","no",NA,216.9,61,36.87,207.4,NA,17.63,NA,110,9.98,17.5,5,4.73,1,"True."
"504","M4",109,415,"7cf43ca7f36844fa574dbd18591af6ee","yes","yes",26,217.2,138,36.92,145.5,111,12.37,NA,76,12.63,9.3,3,2.51,0,"False."
"505","N6",80,510,"1f331a64e20c7c9b94225e1d640d29c1","no","no",0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,"False."
"506","A1",41,415,"7cc177262d1990f2e0ca1071547a5981","no","no",0,159.3,66,27.08,125.9,75,NA,261.9,76,11.79,11.1,5,3,1,"False."
"507","O1",136,415,NA,"no","yes",31,NA,88,24.33,NA,65,20.11,227.8,120,10.25,11.4,5,3.08,2,"False."
"508","M6",92,415,"219b5fb96daffa82ed27666adf85c0ac","no","no",0,154,122,26.18,329.8,NA,28.03,288,117,12.96,5.6,2,1.51,3,NA
"509","K1",143,408,"4fc98f2f1da29a1bd60f34336e774a9d","no","yes",NA,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,"False."
"510",NA,118,415,"4a2a2fd7bb50783cc894c267329862e7","no","yes",26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,NA,"True."
"511","V2",193,408,"5db27706671b14e24efaee4e708cde37","no","yes",17,124,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,"False."
"512","N3",73,415,"bb063f1b80c660e878cc510f0345acad","no","no",0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3,"False."
"513","V1",62,408,"825371ea91dfa93815e6ad61d241c8c3","no","no",0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,NA,"False."
"514","D2",30,415,"e45f474dfa1a87479feaf2f19baf3b26","no","yes",30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,"False."
"515","A2",60,408,"c35348de18c1e4980269f9e27be1e363","yes","yes",29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14,12,3.78,NA,"True."
"516","I2",148,510,"4e9edb6e9d62f53ba0161079820acb4b","no","yes",14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,NA,4.73,1,"False."
"517","M7",96,510,"35910c7fd1d47763571f77938b385107","no","no",0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,NA,"False."
"518","O2",52,408,"b9784df196ce1baf226c61ccdef30cdb","no","no",0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,"False."
"519","N6",87,415,"c8bb70deeb9a808c2fcffa3561414430","no","no",0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,"False."
"520",NA,41,408,"2ec69d5624796b93b23cfd8d1d6cae3f","no","no",0,202.9,NA,34.49,153.8,NA,13.07,113.5,92,5.11,9,3,2.43,3,"False."
"521","W3",112,415,"84c20074edca4fc8a67ef1337143ec9f","no","no",0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,"False."
"522","S1",88,510,NA,"no","no",0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,"True."
"523","K2",122,408,"bdedab5504c13ab85de439f2b5bf799e","no","yes",27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,"False."
"524","M6",61,408,"35c9aaf57b601de87c344717345992e5","no","no",0,45,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,"False."
"525",NA,87,510,"1fb4da5a83cf36ac72979d3948a7a7b2","no","no",0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13,6,3.51,1,"False."
"526","O2",176,408,"346414f464883bf3d6b2e529e34370ec","no","no",NA,47.4,NA,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,"False."
"527","M4",30,510,"57eabaad892294a26cb7158cefb84483","no","no",0,NA,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,"False."
"528","N5",95,415,"a13795840146c7260644d8cb4eb2dc64","no","yes",22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,NA,"False."
"529","I2",46,415,"f4f9792d462d286b1cabd671d4d17ee0","no","no",0,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,NA,"False."
"530","D1",100,510,"d314569732d08456558b037832c883d4","yes","no",0,NA,110,11.65,337.1,115,28.65,NA,99,9.23,12.1,9,3.27,0,"False."
"531","N8",NA,415,"9b04b2db006856aaaf8e98588501f3d4","no","yes",37,163.5,77,27.8,203.1,102,17.26,232,87,10.44,7.8,4,2.11,2,"False."
"532","A2",77,415,"aa0cfbad956c4435827494ad1a4e2743","no","no",0,163,112,27.71,219.1,NA,18.62,233.4,66,10.5,6.7,3,1.81,2,"False."
"533","O3",98,415,"097e6fcc0da0afff8737a0324326c21f","no","yes",38,213.7,61,36.33,253,104,21.51,207.7,73,9.35,10.7,5,2.89,2,"False."
"534","O2",125,415,"8d53f4187e396a649559ac50c949803d","no","yes",36,NA,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,NA,1.46,1,"False."
"535","L1",67,510,"241fe2d10f7f112e2c2a7fa430a19bd0","no","no",0,310.4,NA,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,"False."
"536","N3",194,408,"a35e1ef71822912ffd75b6c0d9dee37d","no","no",0,48.4,101,8.23,281.1,138,23.89,NA,87,9.83,18.2,1,4.91,1,"False."
"537","T2",128,415,"eac364a15f655d75f497c81175670ab1","no","yes",40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14,NA,3.78,1,"False."
"538","U1",190,415,"127783d9745ef0035f0a8bb7351ec6c2","no","yes",22,166.5,93,28.31,183,NA,15.56,121,102,5.44,8.5,3,2.3,0,"False."
"539","O3",165,415,"0cfcb53ab2ee0a34c596656c596df356","no","no",0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,"False."
"540","N8",59,408,"8e1ff22eff556521ee31161e6dc4c8c5","no","no",0,NA,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,NA,2.67,2,"False."
"541","A2",47,408,"fa98e9975faaa9ae5558a3a3473e18be","no","yes",28,NA,94,24.02,168,108,14.28,113.5,84,5.11,NA,2,2.11,1,"False."
"542","R1",150,415,"8991b297233b8584506555f5c790cfe6","no","yes",29,209.9,77,35.68,158,52,13.43,NA,113,6.39,6.6,1,1.78,0,"False."
"543","M5",152,415,"97b8ec0559dc96ce52fec16483fc737d","yes","yes",20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,"True."
"544","N1",NA,415,"c783199841577611bc2d73355df4e7f3","no","no",0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,"False."
"545",NA,79,510,"842dc2cdb92f1ec0b1377430c5bc5f91","no","yes",31,103.1,NA,17.53,243,135,20.66,76.4,92,3.44,12.2,8,3.29,3,"False."
"546","R1",95,510,"3c9ef59008b9e457bfd6aa8974602ad9","no","yes",27,129.5,NA,22.02,248.9,90,21.16,268,115,12.06,11.9,3,3.21,1,"False."
"547","W2",69,510,"efd14a2e97a5b3ba04f6d8c6d31c0f40","yes","no",0,279.8,90,47.57,248.7,91,21.14,171,118,7.69,8.4,10,2.27,2,"True."
"548","V2",95,510,"1c92a40b850f308a3714ec7775c9f586","yes","yes",NA,136.8,91,23.26,200.8,NA,17.07,133.7,67,6.02,10.3,9,2.78,5,"True."
"549","C3",31,415,"ff2623fe994d0f128aa2711187c1d497","no","yes",31,100.1,54,17.02,246.3,97,20.94,255,131,11.48,5.9,3,1.59,0,"False."
"550","O2",121,408,"785560ba2b8712f643a8a26e2c3101e5","no","yes",31,NA,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,"False."
"551","A1",111,415,"bbac5fb1fac8f5ea8e59893a3307e946","no","no",NA,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,"True."
"552","N8",157,415,"9458c3b27b8be8938fb64d315d5a3007","no","no",0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,"False."
"553","G1",44,510,"23301fe90edf9532859e2148d01326e8","no","no",0,288.1,112,48.98,258,92,21.93,192.4,90,8.66,10.2,4,2.75,3,"True."
"554","U1",61,510,"1ecde3378f02556e614f38c0be83ae6f","yes","no",NA,78.2,103,13.29,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,"False."
"555","N6",65,415,"433e87417caa8c5d4c967fbe5cba6e11","no","no",0,148.7,80,25.28,259,94,22.02,NA,107,6.73,12.7,6,3.43,2,"False."
"556","N3",74,415,"1257cfb9875c8bb5648081c30fad399d","no","yes",NA,194.6,NA,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,"False."
"557","N5",NA,408,"9873c9b8345aee8ef5725a1b808fd588","no","no",0,159.5,77,27.12,NA,92,25.82,226.9,120,10.21,12,4,3.24,0,"False."
"558","T2",NA,408,"e7680b1d87adb5cc93c3d278b03dd2c3","no","yes",20,194.5,110,33.07,213.7,89,18.16,236.6,92,NA,9.5,2,2.57,1,"False."
"559","M8",74,408,"4d2e615e39a17175b17e44934214fc54","no","no",0,174.1,96,29.6,NA,94,NA,257.6,123,11.59,8.3,5,2.24,2,"True."
"560","C2",125,415,"5e777101687464d2a1d027887e503588","no","no",0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,NA,6,2.08,2,"False."
"561","V2",80,415,"8cdd79d4cc54fd0affb1d5ec60efe985","no","no",0,160.6,103,27.3,237,109,20.15,245.1,88,11.03,NA,1,2.89,1,"False."
"562","R1",53,408,"588d1801d61526e3c1faee3f4a3afbee","no","yes",18,146.8,107,24.96,310,84,26.35,178.7,130,8.04,7.2,7,1.94,0,"False."
"563","W4",99,408,"cfff2ad8f624d45ff050ea4b1cf44c88","no","yes",28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,"False."
"564","I2",99,415,"1ce7e81c0e23744b9d75cde673375b31","no","no",0,145.6,106,24.75,98.3,106,NA,NA,83,10.39,10.9,5,2.94,1,"False."
"565","C3",66,415,"55e088e03ca53a4002b623a134732562","no","yes",29,NA,104,39,257.4,84,21.88,231.5,119,10.42,NA,1,2.16,2,"False."
"566","M3",97,510,"68b41c64606df6f10c3db968e64d8956","no","no",0,211,76,35.87,189,100,16.07,123,102,5.54,NA,4,1.27,3,"False."
"567","A4",75,510,"0037814b069428489d2fc8e3bb82eb5e","no","yes",37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,"False."
"568","M2",85,510,"25c8e6a72dab7e48a644de416f669240","yes","no",0,216,73,36.72,188.2,117,16,147.1,98,6.62,3.6,7,0.97,2,"False."
"569","I4",108,510,"8efc760cc81d3baae662cfdc54c14299","no","no",0,293,88,49.81,160.6,101,NA,143.9,87,6.48,10,6,2.7,NA,"False."
"570","N1",133,408,"8347e5037025284684df5e722b29d48d","yes","yes",32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,"True."
"571","D2",51,510,"784b508d24a1b93c57965ce1aeea322f","no","no",0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1,"False."
"572","M5",186,415,"a6744cb4279564e3cc3139998a5ce01d","no","yes",26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,"False."
"573","W2",44,415,"93a58da8b7f20097b6ac0ae8a53eb16d","yes","no",0,62.3,92,10.59,275,82,23.38,NA,108,6.24,10.8,3,2.92,1,"False."
"574","F1",64,408,NA,"no","yes",31,228.6,88,38.86,NA,109,21.12,167.1,124,7.52,9,1,2.43,3,"False."
"575","W3",44,510,"93d09e78fb10ed11f33c63803a362947","no","no",0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,"True."
"576","S1",114,415,"e6657a9342ce7248ae29d9921fe278ac","no","yes",36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,"False."
"577","F1",92,415,"5d41a1e8223fae2b9c4fb58985f06f64","no","no",0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,"False."
"578","O3",110,408,"319fc38e30ef767386c01dc205dba086","no","no",0,149.8,112,25.47,NA,93,15.3,140,119,6.3,11.7,4,3.16,2,"False."
"579","C2",90,408,"1d3b8b1b61fb5f43f508ee19ea24ae9a","no","yes",30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,NA,1,"False."
"580","C3",72,408,"81293ff2171636d21b23f0af59cc3aab","no","yes",21,186.7,108,31.74,335,86,28.48,187.2,119,8.42,16.5,4,4.46,1,"False."
"581","I4",113,415,"0d421196d0aad4e82ce73f5775ca77b3","no","no",NA,NA,151,35.6,347.3,113,29.52,246,116,11.07,7.4,2,2,1,"True."
"582","P1",171,415,"bfada9ca1dbd63c7647300fa4e647678","no","yes",25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,"False."
"583","N6",104,415,"aa69bd55f50cde366555264a8c54b5db","no","no",NA,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,"False."
"584","M3",165,408,"2ab848a0666b774cbbfbead88c494460","no",NA,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,"False."
"585","S1",104,510,"8bba9a1948fd4106a65fe44f198e7a9c","no","no",0,234.2,128,39.81,293.1,92,24.91,183.9,79,NA,9.8,6,2.65,0,"True."
"586","A3",110,408,"4e0541920cb6386ad1952557ecd42eef","no","no",0,55.3,102,9.4,164.7,124,14,200.7,108,9.03,10.2,5,2.75,1,NA
"587","T2",90,408,"2d9ec4ff63f7c9f524d6ebb78094b9f7","yes","no",0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,"False."
"588","N4",114,415,"b4a22ed51f328b2f0d37c66102e55ecb","no","no",0,169.6,85,28.83,58.9,86,5.01,NA,124,8.07,NA,8,2,1,"False."
"589","O2",101,408,"19165ad4c732efe24866efc1791e8b97","no","no",NA,89.7,NA,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,"True."
"590","W2",117,408,"c6f19fcbd17b06d2e5a8646d43096d57","no","yes",14,80.2,81,NA,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,"False."
"591","A2",109,408,"987f05d793c54f5df4ffa66ef7e83974","no","no",0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,NA,3.05,2,"False."
